,E0,Ep,dL,phi,th_LRL
23,0.0,7.2,-1.0,23.0,0.0
27,0.0,7.2,-1.0,27.0,0.0
28,0.0,7.2,-1.0,28.0,0.0
41,0.0,7.2,-1.0,41.0,0.0
48,0.0,7.2,-1.0,48.0,0.0
49,0.0,7.2,-1.0,49.0,0.0
68,0.0,7.2,-1.0,68.0,0.0
170,0.0,7.2,-1.0,170.0,0.0
171,0.0,7.2,-1.0,171.0,0.0
177,0.0,7.2,-1.0,177.0,0.0
179,0.0,7.2,-1.0,179.0,0.0
188,0.0,7.2,-1.0,188.0,0.0
195,0.0,7.2,-1.0,195.0,0.0
297,0.0,7.2,-1.0,97.0,1.0
314,0.0,7.2,-1.0,114.0,1.0
321,0.0,7.2,-1.0,121.0,1.0
323,0.0,7.2,-1.0,123.0,1.0
343,0.0,7.2,-1.0,143.0,1.0
423,0.0,7.2,1.0,23.0,0.0
427,0.0,7.2,1.0,27.0,0.0
428,0.0,7.2,1.0,28.0,0.0
441,0.0,7.2,1.0,41.0,0.0
448,0.0,7.2,1.0,48.0,0.0
449,0.0,7.2,1.0,49.0,0.0
468,0.0,7.2,1.0,68.0,0.0
570,0.0,7.2,1.0,170.0,0.0
571,0.0,7.2,1.0,171.0,0.0
577,0.0,7.2,1.0,177.0,0.0
579,0.0,7.2,1.0,179.0,0.0
588,0.0,7.2,1.0,188.0,0.0
595,0.0,7.2,1.0,195.0,0.0
697,0.0,7.2,1.0,97.0,1.0
714,0.0,7.2,1.0,114.0,1.0
721,0.0,7.2,1.0,121.0,1.0
723,0.0,7.2,1.0,123.0,1.0
743,0.0,7.2,1.0,143.0,1.0
842,0.0,0.0,-1.0,42.0,0.0
850,0.0,0.0,-1.0,50.0,0.0
980,0.0,0.0,-1.0,180.0,0.0
995,0.0,0.0,-1.0,195.0,0.0
1080,0.0,0.0,-1.0,80.0,1.0
1095,0.0,0.0,-1.0,95.0,1.0
1142,0.0,0.0,-1.0,142.0,1.0
1150,0.0,0.0,-1.0,150.0,1.0
1242,0.0,0.0,1.0,42.0,0.0
1250,0.0,0.0,1.0,50.0,0.0
1380,0.0,0.0,1.0,180.0,0.0
1395,0.0,0.0,1.0,195.0,0.0
1480,0.0,0.0,1.0,80.0,1.0
1495,0.0,0.0,1.0,95.0,1.0
1542,0.0,0.0,1.0,142.0,1.0
1550,0.0,0.0,1.0,150.0,1.0
1604,0.0,14.4,-1.0,4.0,0.0
1616,0.0,14.4,-1.0,16.0,0.0
1617,0.0,14.4,-1.0,17.0,0.0
1618,0.0,14.4,-1.0,18.0,0.0
1620,0.0,14.4,-1.0,20.0,0.0
1636,0.0,14.4,-1.0,36.0,0.0
1656,0.0,14.4,-1.0,56.0,0.0
1660,0.0,14.4,-1.0,60.0,0.0
1665,0.0,14.4,-1.0,65.0,0.0
1666,0.0,14.4,-1.0,66.0,0.0
1765,0.0,14.4,-1.0,165.0,0.0
1772,0.0,14.4,-1.0,172.0,0.0
1781,0.0,14.4,-1.0,181.0,0.0
1891,0.0,14.4,-1.0,91.0,1.0
1949,0.0,14.4,-1.0,149.0,1.0
2004,0.0,14.4,1.0,4.0,0.0
2016,0.0,14.4,1.0,16.0,0.0
2017,0.0,14.4,1.0,17.0,0.0
2018,0.0,14.4,1.0,18.0,0.0
2020,0.0,14.4,1.0,20.0,0.0
2036,0.0,14.4,1.0,36.0,0.0
2056,0.0,14.4,1.0,56.0,0.0
2060,0.0,14.4,1.0,60.0,0.0
2065,0.0,14.4,1.0,65.0,0.0
2066,0.0,14.4,1.0,66.0,0.0
2165,0.0,14.4,1.0,165.0,0.0
2172,0.0,14.4,1.0,172.0,0.0
2181,0.0,14.4,1.0,181.0,0.0
2291,0.0,14.4,1.0,91.0,1.0
2349,0.0,14.4,1.0,149.0,1.0
2402,0.0,21.6,-1.0,2.0,0.0
2404,0.0,21.6,-1.0,4.0,0.0
2412,0.0,21.6,-1.0,12.0,0.0
2414,0.0,21.6,-1.0,14.0,0.0
2420,0.0,21.6,-1.0,20.0,0.0
2440,0.0,21.6,-1.0,40.0,0.0
2464,0.0,21.6,-1.0,64.0,0.0
2465,0.0,21.6,-1.0,65.0,0.0
2568,0.0,21.6,-1.0,168.0,0.0
2573,0.0,21.6,-1.0,173.0,0.0
2575,0.0,21.6,-1.0,175.0,0.0
2691,0.0,21.6,-1.0,91.0,1.0
2704,0.0,21.6,-1.0,104.0,1.0
2707,0.0,21.6,-1.0,107.0,1.0
2741,0.0,21.6,-1.0,141.0,1.0
2743,0.0,21.6,-1.0,143.0,1.0
2744,0.0,21.6,-1.0,144.0,1.0
2802,0.0,21.6,1.0,2.0,0.0
2804,0.0,21.6,1.0,4.0,0.0
2812,0.0,21.6,1.0,12.0,0.0
2814,0.0,21.6,1.0,14.0,0.0
2820,0.0,21.6,1.0,20.0,0.0
2840,0.0,21.6,1.0,40.0,0.0
2864,0.0,21.6,1.0,64.0,0.0
2865,0.0,21.6,1.0,65.0,0.0
2968,0.0,21.6,1.0,168.0,0.0
2973,0.0,21.6,1.0,173.0,0.0
2975,0.0,21.6,1.0,175.0,0.0
3091,0.0,21.6,1.0,91.0,1.0
3104,0.0,21.6,1.0,104.0,1.0
3107,0.0,21.6,1.0,107.0,1.0
3141,0.0,21.6,1.0,141.0,1.0
3143,0.0,21.6,1.0,143.0,1.0
3144,0.0,21.6,1.0,144.0,1.0
3201,0.0,28.8,-1.0,1.0,0.0
3204,0.0,28.8,-1.0,4.0,0.0
3213,0.0,28.8,-1.0,13.0,0.0
3218,0.0,28.8,-1.0,18.0,0.0
3228,0.0,28.8,-1.0,28.0,0.0
3250,0.0,28.8,-1.0,50.0,0.0
3253,0.0,28.8,-1.0,53.0,0.0
3254,0.0,28.8,-1.0,54.0,0.0
3257,0.0,28.8,-1.0,57.0,0.0
3259,0.0,28.8,-1.0,59.0,0.0
3261,0.0,28.8,-1.0,61.0,0.0
3264,0.0,28.8,-1.0,64.0,0.0
3265,0.0,28.8,-1.0,65.0,0.0
3282,0.0,28.8,-1.0,82.0,0.0
3373,0.0,28.8,-1.0,173.0,0.0
3374,0.0,28.8,-1.0,174.0,0.0
3380,0.0,28.8,-1.0,180.0,0.0
3495,0.0,28.8,-1.0,95.0,1.0
3503,0.0,28.8,-1.0,103.0,1.0
3506,0.0,28.8,-1.0,106.0,1.0
3523,0.0,28.8,-1.0,123.0,1.0
3536,0.0,28.8,-1.0,136.0,1.0
3537,0.0,28.8,-1.0,137.0,1.0
3539,0.0,28.8,-1.0,139.0,1.0
3601,0.0,28.8,1.0,1.0,0.0
3604,0.0,28.8,1.0,4.0,0.0
3613,0.0,28.8,1.0,13.0,0.0
3618,0.0,28.8,1.0,18.0,0.0
3628,0.0,28.8,1.0,28.0,0.0
3650,0.0,28.8,1.0,50.0,0.0
3653,0.0,28.8,1.0,53.0,0.0
3654,0.0,28.8,1.0,54.0,0.0
3657,0.0,28.8,1.0,57.0,0.0
3659,0.0,28.8,1.0,59.0,0.0
3661,0.0,28.8,1.0,61.0,0.0
3664,0.0,28.8,1.0,64.0,0.0
3665,0.0,28.8,1.0,65.0,0.0
3682,0.0,28.8,1.0,82.0,0.0
3773,0.0,28.8,1.0,173.0,0.0
3774,0.0,28.8,1.0,174.0,0.0
3780,0.0,28.8,1.0,180.0,0.0
3895,0.0,28.8,1.0,95.0,1.0
3903,0.0,28.8,1.0,103.0,1.0
3906,0.0,28.8,1.0,106.0,1.0
3923,0.0,28.8,1.0,123.0,1.0
3936,0.0,28.8,1.0,136.0,1.0
3937,0.0,28.8,1.0,137.0,1.0
3939,0.0,28.8,1.0,139.0,1.0
4002,0.0,36.0,-1.0,2.0,0.0
4013,0.0,36.0,-1.0,13.0,0.0
4014,0.0,36.0,-1.0,14.0,0.0
4019,0.0,36.0,-1.0,19.0,0.0
4021,0.0,36.0,-1.0,21.0,0.0
4030,0.0,36.0,-1.0,30.0,0.0
4032,0.0,36.0,-1.0,32.0,0.0
4034,0.0,36.0,-1.0,34.0,0.0
4035,0.0,36.0,-1.0,35.0,0.0
4036,0.0,36.0,-1.0,36.0,0.0
4040,0.0,36.0,-1.0,40.0,0.0
4054,0.0,36.0,-1.0,54.0,0.0
4064,0.0,36.0,-1.0,64.0,0.0
4081,0.0,36.0,-1.0,81.0,0.0
4083,0.0,36.0,-1.0,83.0,0.0
4161,0.0,36.0,-1.0,161.0,0.0
4175,0.0,36.0,-1.0,175.0,0.0
4176,0.0,36.0,-1.0,176.0,0.0
4177,0.0,36.0,-1.0,177.0,0.0
4185,0.0,36.0,-1.0,185.0,0.0
4194,0.0,36.0,-1.0,194.0,0.0
4309,0.0,36.0,-1.0,109.0,1.0
4316,0.0,36.0,-1.0,116.0,1.0
4318,0.0,36.0,-1.0,118.0,1.0
4319,0.0,36.0,-1.0,119.0,1.0
4321,0.0,36.0,-1.0,121.0,1.0
4327,0.0,36.0,-1.0,127.0,1.0
4328,0.0,36.0,-1.0,128.0,1.0
4334,0.0,36.0,-1.0,134.0,1.0
4402,0.0,36.0,1.0,2.0,0.0
4413,0.0,36.0,1.0,13.0,0.0
4414,0.0,36.0,1.0,14.0,0.0
4419,0.0,36.0,1.0,19.0,0.0
4421,0.0,36.0,1.0,21.0,0.0
4430,0.0,36.0,1.0,30.0,0.0
4432,0.0,36.0,1.0,32.0,0.0
4434,0.0,36.0,1.0,34.0,0.0
4435,0.0,36.0,1.0,35.0,0.0
4436,0.0,36.0,1.0,36.0,0.0
4440,0.0,36.0,1.0,40.0,0.0
4454,0.0,36.0,1.0,54.0,0.0
4464,0.0,36.0,1.0,64.0,0.0
4481,0.0,36.0,1.0,81.0,0.0
4483,0.0,36.0,1.0,83.0,0.0
4561,0.0,36.0,1.0,161.0,0.0
4575,0.0,36.0,1.0,175.0,0.0
4576,0.0,36.0,1.0,176.0,0.0
4577,0.0,36.0,1.0,177.0,0.0
4585,0.0,36.0,1.0,185.0,0.0
4594,0.0,36.0,1.0,194.0,0.0
4709,0.0,36.0,1.0,109.0,1.0
4716,0.0,36.0,1.0,116.0,1.0
4718,0.0,36.0,1.0,118.0,1.0
4719,0.0,36.0,1.0,119.0,1.0
4721,0.0,36.0,1.0,121.0,1.0
4727,0.0,36.0,1.0,127.0,1.0
4728,0.0,36.0,1.0,128.0,1.0
4734,0.0,36.0,1.0,134.0,1.0
4804,0.0,43.2,-1.0,4.0,0.0
4807,0.0,43.2,-1.0,7.0,0.0
4808,0.0,43.2,-1.0,8.0,0.0
4811,0.0,43.2,-1.0,11.0,0.0
4816,0.0,43.2,-1.0,16.0,0.0
4818,0.0,43.2,-1.0,18.0,0.0
4823,0.0,43.2,-1.0,23.0,0.0
4826,0.0,43.2,-1.0,26.0,0.0
4848,0.0,43.2,-1.0,48.0,0.0
4862,0.0,43.2,-1.0,62.0,0.0
4863,0.0,43.2,-1.0,63.0,0.0
4864,0.0,43.2,-1.0,64.0,0.0
4876,0.0,43.2,-1.0,76.0,0.0
4885,0.0,43.2,-1.0,85.0,0.0
4957,0.0,43.2,-1.0,157.0,0.0
4961,0.0,43.2,-1.0,161.0,0.0
4976,0.0,43.2,-1.0,176.0,0.0
4977,0.0,43.2,-1.0,177.0,0.0
4981,0.0,43.2,-1.0,181.0,0.0
4982,0.0,43.2,-1.0,182.0,0.0
4988,0.0,43.2,-1.0,188.0,0.0
4992,0.0,43.2,-1.0,192.0,0.0
4996,0.0,43.2,-1.0,196.0,0.0
4997,0.0,43.2,-1.0,197.0,0.0
4998,0.0,43.2,-1.0,198.0,0.0
5105,0.0,43.2,-1.0,105.0,1.0
5120,0.0,43.2,-1.0,120.0,1.0
5125,0.0,43.2,-1.0,125.0,1.0
5204,0.0,43.2,1.0,4.0,0.0
5207,0.0,43.2,1.0,7.0,0.0
5208,0.0,43.2,1.0,8.0,0.0
5211,0.0,43.2,1.0,11.0,0.0
5216,0.0,43.2,1.0,16.0,0.0
5218,0.0,43.2,1.0,18.0,0.0
5223,0.0,43.2,1.0,23.0,0.0
5226,0.0,43.2,1.0,26.0,0.0
5248,0.0,43.2,1.0,48.0,0.0
5262,0.0,43.2,1.0,62.0,0.0
5263,0.0,43.2,1.0,63.0,0.0
5264,0.0,43.2,1.0,64.0,0.0
5276,0.0,43.2,1.0,76.0,0.0
5285,0.0,43.2,1.0,85.0,0.0
5357,0.0,43.2,1.0,157.0,0.0
5361,0.0,43.2,1.0,161.0,0.0
5376,0.0,43.2,1.0,176.0,0.0
